School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Heidelberg University,1190956,595478
Grinnell College,1190471,595236
University Of Puerto Rico - Medical Science Campus,1190264,595132
Hamilton College,1189507,594754
University Of Hawaii Maui College,1187907,593954
Southwestern Community College,1187630,593815
Southeast Arkansas College,1187530,593765
Saint Michael'S College,1186800,593400
Ohio Dominican University,1186525,593263
Blue Ridge Community And Technical College,1185596,592798
Rend Lake College,1182264,591132
Schreiner University,1181201,590601
Kalamazoo College,1178454,589227
Northern Wyoming Community College District,1175360,587680
Carl Sandburg College,1175052,587526
Intellitec College,1174578,587289
Saint Mary'S College Of Maryland,1173755,586878
Rockhurst University,1169737,584869
Bellevue University,1169139,584570
Hunter Business School,1168966,584483
Columbus College Of Art & Design,1168931,584466
Carleton College,1168048,584024
Murray State College,1167810,583905
University Of Montana Western (The),1164902,582451
Paul Quinn College,1163719,581860
Seminole State College,1163326,581663
Chatham University,1162375,581188
Barton College,1161318,580659
Peninsula College,1160439,580220
Union College,1159940,579970
University Of Saint Joseph,1158343,579172
Eastern Oregon University,1158327,579164
Lawrence University Of Wisconsin,1157627,578814
Colorado College,1157391,578696
Mount Mary University,1157273,578637
Western Piedmont Community College,1157050,578525
Sussex County Community College,1156835,578418
University Of Arkansas Community College At Hope-Texarkana,1156335,578168
Cascadia College,1156230,578115
Spalding University,1155755,577878
Southeastern Community College,1155058,577529
Pierpont Community & Technical College,1154797,577399
Oconee Fall Line Technical College,1152438,576219
American Intercontinental University,1150405,575203
Lincoln College Of Technology,1149547,574774
Guam Community College,1149350,574675
Ursinus College,1149294,574647
Rappahannock Community College,1149192,574596
Auguste Escoffier School Of Culinary Arts,1148379,574190
Agnes Scott College,1148230,574115
Coker University,1147692,573846
Morningside College,1147631,573816
Louisiana College,1147506,573753
Trocaire College,1147253,573627
Hawaii Community College,1147226,573613
Graceland University,1147199,573600
Marian University,1147099,573550
Mti College,1142459,571230
Baptist Memorial College Of Health Sciences,1141951,570976
Northeast Texas Community College,1140273,570137
Pacific Union College,1138223,569112
University Of Northwestern- St Paul,1138110,569055
Northwest College School Of Beauty,1136700,568350
Northwest Louisiana Technical Community College,1136669,568335
Mcmurry University,1136612,568306
College For Creative Studies,1136489,568245
Mills College,1135582,567791
Saint Anselm College,1134675,567338
American College Of Healthcare And Technology,1134326,567163
Baker University,1134284,567142
Lake Michigan College,1133204,566602
Virginia Military Institute,1132691,566346
Intellitec College,1132045,566023
Cambridge College Of Healthcare & Technology,1131811,565906
Mountwest Community And Technical College,1129207,564604
Alderson Broaddus University,1126674,563337
Adventhealth University,1126242,563121
Voorhees College,1124053,562027
Buena Vista University,1123792,561896
Bowdoin College,1123660,561830
Taft College,1122910,561455
Umpqua Community College,1121853,560927
Notre Dame De Namur University,1121450,560725
New Mexico Junior College,1121004,560502
Mary Baldwin University,1120685,560343
"Teachers College, Columbia University",1118534,559267
Southeastern Community College,1118302,559151
Spartan College Of Aeronautics & Technology,1117522,558761
Cecil College,1115623,557812
Haskell Indian Nations University,1111478,555739
North Country Community College,1111281,555641
Northwestern Technological Institute,1108949,554475
Anoka Technical College,1108759,554380
Lourdes University,1108640,554320
Honolulu Community College,1107387,553694
Antioch University,1107211,553606
Continental School Of Beauty Culture,1106191,553096
Western University Of Health Sciences,1105699,552850
Carroll Community College,1104882,552441
Coconino County Community College,1104730,552365
Wofford College,1103905,551953
Midland University,1102337,551169
St. Paul'S School Of Nursing,1102325,551163
University Of Texas Medical Branch At Galveston,1101752,550876
Carrington College,1101321,550661
Otis College Of Art & Design,1100507,550254
Canada College,1098544,549272
Shorter College,1097484,548742
University Of The South (The),1094094,547047
Dean College,1087115,543558
Beloit College,1086370,543185
D'Mart Institute,1086083,543042
Fisk University,1085474,542737
Dordt University,1082435,541218
Juniata College,1082356,541178
Southwestern Oregon Community College,1081690,540845
Chadron State College,1081277,540639
Warner University,1078101,539051
Northwest University,1075562,537781
Lagrange College,1074446,537223
New Castle School Of Trades,1073423,536712
Taylor University,1073311,536656
Minnesota West Community And Technical College,1072094,536047
Franklin College Of Indiana,1071874,535937
South Arkansas Community College,1071512,535756
Birmingham-Southern College,1069855,534928
Monmouth College,1069404,534702
Madisonville Community College,1069051,534526
Culver-Stockton College,1067399,533700
Trinity Christian College,1067149,533575
Hanover College,1065765,532883
Sheridan Technical College,1063091,531546
Indiana University - East,1062722,531361
Resurrection University,1061270,530635
Carrington College,1060396,530198
Arkansas State University - Mountain Home,1059570,529785
Randolph - Macon College,1058238,529119
St. Paul'S School Of Nursing,1056892,528446
Hendrix College,1056780,528390
Lamar State College - Port Arthur,1056684,528342
Averett University,1055659,527830
College Of Saint Mary,1055309,527655
Berkshire Community College,1052143,526072
Hastings College,1051950,525975
Northern New Mexico College,1051562,525781
Letourneau University,1050372,525186
College Of Alameda,1049170,524585
Modern Hairstyling Institute,1048362,524181
Ranger College,1047733,523867
Washington College,1047397,523699
North Central University,1046302,523151
Fortis College,1046187,523094
Advantage Technical College,1045941,522971
Washington And Lee University,1045044,522522
Lamar State College - Orange,1043319,521660
Howard Payne University,1041913,520957
Quincy University,1041392,520696
Goldey-Beacom College,1040019,520010
Sullivan County Community College - Suny Office Of Community Colleges,1038982,519491
Tennessee College Of Applied Technology - Nashville,1038538,519269
Trinidad State Junior College,1038406,519203
Presbyterian College,1038216,519108
Modern Hairstyling Institute,1036256,518128
University Of Sioux Falls,1036173,518087
Sampson Community College,1033931,516966
Hiram College,1033772,516886
Cardinal Stritch University,1031055,515528
University Of Arkansas Community College At Batesville,1029926,514963
Hodges University,1029439,514720
Northwestern College,1029287,514644
Saint Louis College Of Health Careers,1026542,513271
Regis College,1025140,512570
Collins Career Technical Center,1024753,512377
Kiamichi Technology Center,1023214,511607
Bryn Mawr College,1022842,511421
Eastwick College - Nutley Campus,1022459,511230
Fort Scott Community College,1021526,510763
University Of Science & Arts Of Oklahoma,1020519,510260
Young Harris College,1019320,509660
Aviation Institute Of Maintenance,1018117,509059
Friends University,1018077,509039
"Colegio De Cinematografía, Artes Y Televisión",1018034,509017
Concordia University,1017489,508745
Asbury University,1017118,508559
Mdt College Of Health Sciences,1017059,508530
Eastern International College,1016203,508102
Manatee Technical College,1015473,507737
California Institute Of The Arts,1014886,507443
Medquest College,1013074,506537
Ogle School Hair Skin Nails,1012829,506415
Oregon Health & Science University,1012193,506097
Delta College,1012095,506048
Isothermal Community College,1012055,506028
University Of The Ozarks,1011314,505657
Cazenovia College,1008776,504388
Salem College,1007410,503705
William Peace University,1006338,503169
Immaculata University,1006089,503045
Bethany College,1005488,502744
Career Quest Learning Centers,1005286,502643
North American Trade Schools,1004497,502249
Columbia College,1002296,501148
Zane State College,1002163,501082
University Of Tennessee Health Science Center,998078,499039
Johnson University,997716,498858
Treasure Valley Community College,997664,498832
International Business College,995201,497601
Columbia College,994576,497288
Studio Academy Of Beauty (The),994090,497045
Newman University,993846,496923
University Of St. Augustine For Health Sciences,993092,496546
Fontbonne University,986867,493434
Centre College Of Kentucky,986773,493387
College Of Eastern Idaho,985694,492847
Antilles College Of Health,985427,492714
Concorde Career College,982367,491184
Davis & Elkins College,980322,490161
Kennebec Valley Community College,979695,489848
Pennco Tech,979653,489827
Fox College,979641,489821
Lakeshore Technical College,977816,488908
South Piedmont Community College,977809,488905
California State University Maritime Academy,977757,488879
University Of Saint Mary,976950,488475
Instituto Educativo Premier,974349,487175
Career College Of Northern Nevada,974259,487130
University Of Arkansas For Medical Sciences,972976,486488
Vermont Technical College,971406,485703
Lenoir Community College,970886,485443
Parker University,970426,485213
Notre Dame Of Maryland University,969449,484725
Humacao Community College,967546,483773
Highland Community College,967270,483635
Erwin Technical College,967210,483605
Iowa Lakes Community College,966888,483444
Blue Mountain Community College,966862,483431
River Parishes Community College,963683,481842
Martin Methodist College,963462,481731
Northwest State Community College,962933,481467
Greensboro College,962182,481091
Digipen Institute Of Technology,961951,480976
Huntington University,960261,480131
Missouri State University - West Plains,960166,480083
Cbd College,959316,479658
Earlham College,958680,479340
Universidad Central De Bayamon,958454,479227
Greenville University,957351,478676
Illinois Media School,954313,477157
