School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Mcneese State University,5456361,2728181
Passaic County Community College,5451658,2725829
University Of Alaska Anchorage,5445184,2722592
Shippensburg University Of Pennsylvania,5436200,2718100
Carrington College,5403151,2701576
Universidad Del Sagrado Corazón,5395359,2697680
Winthrop University,5382130,2691065
Charles Stewart Mott Community College,5378749,2689375
Duquesne University Of The Holy Spirit,5373970,2686985
Delaware County Community College,5360154,2680077
Quinnipiac University,5345199,2672600
Pennsylvania College Of Technology,5341470,2670735
Gwinnett Technical College,5336576,2668288
Pittsburg State University,5318769,2659385
"University Of Puerto Rico, Ponce",5314251,2657126
All-State Career,5309772,2654886
Chattanooga State Community College,5283482,2641741
Mercer University,5265925,2632963
State University Of New York College At Plattsburgh,5258169,2629085
Adelphi University,5246966,2623483
Onondaga Community College,5222555,2611278
University Of The Incarnate Word,5219687,2609844
University Of Maryland Global Campus,5210563,2605282
Missouri University Of Science And Technology,5205598,2602799
Clark College,5205413,2602707
University Of Dayton,5197738,2598869
Los Angeles City College,5197272,2598636
University Of Texas At Tyler,5194610,2597305
South Plains College,5182219,2591110
Jefferson Community And Technical College,5179693,2589847
Pellissippi State Community College,5171189,2585595
University Of The Pacific,5164869,2582435
Metropolitan State University,5159002,2579501
Horry - Georgetown Technical College,5158587,2579294
Delta College,5146606,2573303
Moorpark College,5143560,2571780
Saint Louis University,5141085,2570543
Albany State University,5137088,2568544
Los Angeles Trade-Technical College,5124229,2562115
Jersey College,5119863,2559932
University Of Tennessee - Martin,5110311,2555156
Hudson Valley Community College,5108581,2554291
Central Georgia Technical College,5100288,2550144
Fayetteville State University,5084687,2542344
Johnson County Community College,5080285,2540143
Auburn University Montgomery,5075473,2537737
College Of Central Florida,5063707,2531854
Nicholls State University,5057520,2528760
Massachusetts Institute Of Technology,5045387,2522694
Stark State College,5036299,2518150
Wilbur Wright College,5035279,2517640
College Of New Jersey (The),5028131,2514066
Barry University,5027398,2513699
